Deutsche,English
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,Not
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,we
ihr,her
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only 
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,above
da,there
geben,give
vor,before
mein,my
mehr,more
Jahr,Year
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,beautiful
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Well
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Times
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,under
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,Woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,in between
drei,three
liegen,lie
wo,Where
nichts,Nothing
klein,small
Tag,Day
deutsch,German
bleiben,stay
nun,well
sondern,but
heute,today
beide,both
hoch,high
damit,in order to
ohne,without
Mann,Man
welch,what
tun,do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,easy
erst,first
Kind,child
Land,country
stellen,place
zeigen,demonstrate
natürlich,naturally
alt,old
dort,there
Deutschland,Germany
gleich,same
nehmen,take
dürfen,allowed to
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,a house
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,last
fragen,ask
Herr,Mister
halten,keep
glauben,believe
Frage,question
gelten,are valid
gerade,just
folgen,follow
sprechen,speak
führen,to lead
bringen,bring
Welt,World
gar,at all
eigen,own
genau,I agree
mögen,to like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,while
einige,some
dafür,Therefore
kurz,short
richtig,correct
stark,strong
brauchen,to need
Hand,hand
etwa,about
weitere,Further
Ende,End
schreiben,write
solch,such
nie,never
Fall,case
schön,Nice
wirklich,really
denen,whom
nennen,to name
warum,why
ziehen,draw
Wort,Word
darauf,thereon
eben,even
Seite,side
Teil,Part
jung,young
vier,four
besser,better
fast,nearly
schnell,quickly
Stadt,city
spielen,to play
zwar,that is
Euro,Euro
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,to get
meinen,think
davon,from that
fahren,drive
kennen,know
dich,you
Mutter,mother
Woche,Week
Weg,path
weiter,further
Auge,Eye
oft,often
Leute,people
allerdings,Indeed
sogar,even
jedoch,however
setzen,put
deshalb,for this reason
weit,far
sitzen,sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,company
nächste,next
erklären,to explain
klar,clear
Doktor,doctor
Paar,Few
Recht,Right
wegen,because
dir,to you
Wasser,water
bestehen,exist
versuchen,to attempt
Punkt,Point
Grund,reason
Kopf,head
beginnen,start
laufen,to run
Bild,picture
verschieden,different
Name,Surname
Aufgabe,task
schwer,difficult
entsprechen,correspond to
treffen,meeting
Art,Kind
wohl,probably
Geschichte,story
erzählen,tell
entstehen,develop
sicher,secure
neben,Next
allein,alone
Abbildung,Illustration
hinter,Behind
besonders,especially
tragen,wear
kaum,hardly
Freund,friend
fünf,five
scheinen,seem to be
Stunde,Hour
aussehen,look
gern,gladly
überhaupt,at all
bestimmt,definitely
sowie,such as
Professor,professor
darüber,about that
deren,whose
schaffen,create
damals,back then
erhalten,receive
lernen,to learn
frei,free
Wert,value
beziehungsweise,or
daran,to it
suchen,Looking for
Europa,Europe
gemeinsam,together
rund,around
Zahl,Number
Thema,theme
handeln,act
Buch,A book